Document,Topic,Weight,ACN,State Reference,Primary Problem,Make Model Name,Function 1,Function 2,Function 3,Function 4,Flight Phase 1,Flight Phase 2,Flight Phase 3,Flight Phase 4,Flight Phase 5,Flight Phase 6
0,0,0.8960397,986867,US,Aircraft,B737-400,Pilot Not Flying, Captain,,,Cruise,,,,,
1,3,0.85468477,987083,US,Aircraft,B737-800,Pilot Not Flying, First Officer,,,Climb,,,,,
2,0,0.89843464,987225,US,Aircraft,B737-400,Captain, Pilot Not Flying,,,Climb,,,,,
3,0,0.8950953,987717,US,Aircraft,B737-400,Captain,,,,Takeoff / Launch,,,,,
4,1,0.45541325,987840,MA,Aircraft,B737-800,Captain, Pilot Flying,,,Final Approach,,,,,
5,0,0.79630893,988108,US,Human Factors,B737-700,Pilot Flying, Captain,,,Climb,,,,,
6,1,0.8808137,988111,CA,Procedure,B747-400,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
7,0,0.643356,988179,TX,Aircraft,B757-200,Captain, Pilot Not Flying,,,Cruise,,,,,
8,0,0.53281647,988193,IL,Human Factors,B737-800,Pilot Not Flying, Captain,,,Initial Climb,,,,,
9,0,0.71604687,988252,UT,Human Factors,B737-800,Enroute,,,,Cruise,,,,,
10,1,0.89945775,988302,FO,Ambiguous,B747-400,First Officer, Pilot Flying,,,Landing,,,,,
11,3,0.892382,988360,US,Procedure,B737-800,Captain, Pilot Not Flying,,,Cruise,,,,,
12,1,0.9226837,988364,TX,Ambiguous,B757-200,Captain, Pilot Flying,,,Initial Climb, Climb,,,,
13,3,0.9175332,988369,US,Aircraft,B737-800,Pilot Flying,,,,Cruise,,,,,
14,0,0.8727954,988391,US,Ambiguous,B757-200,First Officer, Pilot Flying,,,Cruise,,,,,
15,1,0.91873336,988393,VA,Ambiguous,B757 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Initial Climb,,,,,
16,0,0.87440807,988447,TX,Human Factors,B737-700,First Officer,,,,Takeoff / Launch,,,,,
17,0,0.8814434,988663,FO,Aircraft,B747-400,Captain, Pilot Flying,,,Climb,,,,,
18,0,0.90482986,988798,IL,Ambiguous,B777-200,Pilot Not Flying, First Officer,,,Takeoff / Launch, Taxi,,,,
19,1,0.60991234,988849,IL,Human Factors,B737-700,First Officer,,,,Cruise,,,,,
20,2,0.8479406,988955,Unidentified,Human Factors,B737 Next Generation Undifferentiated,Flight Attendant (On Duty),,,,Cruise,,,,,
21,1,0.51182145,989044,US,Aircraft,B757 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Final Approach,,,,,
22,0,0.8825475,989098,NM,Procedure,B737-800,Enroute,,,,Initial Climb,,,,,
23,0,0.79676956,989291,US,Aircraft,B767-300 and 300 ER,Pilot Not Flying, Relief Pilot,,,Climb,,,,,
24,1,0.87594295,989357,CA,Ambiguous,B757-200,Pilot Not Flying, Captain,,,Initial Climb,,,,,
25,2,0.6539798,989463,FL,Procedure,B757-200,Pilot Flying, Captain,,,Cruise, Descent,,,,
26,1,0.9233764,989571,CA,Aircraft,B767-300 and 300 ER,Pilot Not Flying, First Officer,,,Initial Climb,,,,,
27,0,0.6216051,989691,US,Aircraft,B767 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Landing,,,,,
28,1,0.61925334,989693,US,Aircraft,B737-400,Captain, Pilot Not Flying,,,Cruise,,,,,
29,2,0.8593741,989709,US,Aircraft,B737-700,Captain, Pilot Flying,,,Initial Climb, Climb,,,,
30,0,0.87070227,989775,CA,Aircraft,B747-400,Captain, Pilot Not Flying,,,Cruise,,,,,
31,0,0.5100175,989888,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
32,0,0.5017319,990091,HI,Ambiguous,B737-300,First Officer, Pilot Not Flying,,,Cruise,,,,,
33,1,0.87970066,990104,US,Aircraft,B717 (Formerly MD-95),Pilot Not Flying, Captain,,,Takeoff / Launch,,,,,
34,2,0.56258017,990130,WA,Human Factors,B737-800,Captain, Pilot Flying,,,Initial Climb,,,,,
35,0,0.875737,990135,FO,Human Factors,B767-300 and 300 ER,Pilot Flying, First Officer,,,Cruise,,,,,
36,0,0.89039284,990147,Unidentified,Human Factors,B777-200,Flight Attendant (On Duty),,,,Cruise,,,,,
37,1,0.85532296,990391,US,Ambiguous,B737-700,Captain, Pilot Flying,,,Landing,,,,,
38,3,0.6282734,990410,US,Aircraft,B737-700,First Officer, Pilot Flying,,,Climb,,,,,
39,2,0.52446157,990540,US,Aircraft,B737-400,Flight Attendant (On Duty),,,,Landing,,,,,
40,0,0.9113028,990889,Unidentified,Aircraft,B747-400,Captain, Check Pilot, Pilot Flying,,Cruise,,,,,
41,0,0.89597625,990892,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Flying,,,Takeoff / Launch,,,,,
42,2,0.4748246,990996,US,Aircraft,B747-400,Captain, Pilot Flying,,,Cruise,,,,,
43,3,0.7735257,991375,US,Aircraft,B737 Undifferentiated or Other Model,First Officer,,,,Cruise,,,,,
44,0,0.91191185,991500,US,Aircraft,B737-300,First Officer, Pilot Flying,,,Climb,,,,,
45,0,0.8694291,991762,US,Aircraft,B767-300 and 300 ER,First Officer, Relief Pilot,,,Initial Climb,,,,,
46,2,0.5531974,991825,CA,Procedure,B767-200,Local,,,,Initial Climb,,,,,
47,1,0.5984337,991856,US,Human Factors,B737-700,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
48,2,0.4813221,991939,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Flying,,,Cruise,,,,,
49,0,0.52833116,992135,US,Aircraft,B737-700,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
50,3,0.8646174,992249,US,Aircraft,B757-200,Pilot Flying, Captain,,,Cruise,,,,,
51,0,0.69672835,992259,US,Aircraft,B737-400,Captain, Pilot Flying,,,Cruise,,,,,
52,3,0.67721885,992552,FO,Aircraft,B747-400,Captain, Pilot Not Flying,,,Cruise,,,,,
53,0,0.5748152,992660,US,Human Factors,B737 Undifferentiated or Other Model,Enroute,,,,Initial Climb,,,,,
54,0,0.93376684,992828,US,Aircraft,B737-300,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
55,1,0.71342444,993001,CA,Human Factors,B737-800,Departure, Approach,,,Initial Climb,,,,,
