Document,Topic,Weight
0,0,0.8960202
1,3,0.85471153
2,0,0.8983909
3,0,0.8950199
4,1,0.4483196
5,0,0.7975372
6,1,0.88080955
7,0,0.637588
8,0,0.53296876
9,0,0.71897316
10,1,0.899484
11,3,0.89242804
12,1,0.9226243
13,3,0.91753143
14,0,0.8906443
15,1,0.9187184
16,0,0.87499875
17,0,0.8814197
18,0,0.90481544
19,1,0.60852605
20,2,0.8489143
21,1,0.5117873
22,0,0.88249487
23,0,0.7771042
24,1,0.8759271
25,2,0.65495497
26,1,0.9233811
27,0,0.62163335
28,1,0.6192308
29,2,0.8593809
30,0,0.8706542
31,0,0.5243065
32,0,0.50154763
33,1,0.8797829
34,2,0.5666414
35,0,0.87578136
36,0,0.89031965
37,1,0.8552495
38,3,0.6282298
39,2,0.5241787
40,0,0.91130364
41,0,0.89593816
42,2,0.47487384
43,3,0.7734385
44,0,0.9119094
45,0,0.87789315
46,2,0.55322427
47,1,0.59850687
48,2,0.48124218
49,0,0.5346625
50,3,0.8645894
51,0,0.6982218
52,3,0.67708147
53,0,0.57474375
54,0,0.93373793
55,1,0.74136895
56,1,0.86981225
57,0,0.91290504
58,0,0.8590829
59,0,0.90965426
60,3,0.8672457
61,1,0.8678332
62,0,0.56700057
63,3,0.8337539
64,0,0.8686527
65,2,0.6786908
66,3,0.8250634
67,0,0.67386234
68,0,0.8779247
69,0,0.8675168
70,3,0.8873983
71,0,0.8341565
72,3,0.8812502
73,0,0.85589045
74,0,0.9137772
75,2,0.92545533
76,1,0.5343017
77,0,0.9304925
78,1,0.78065044
79,0,0.7138799
80,3,0.8884761
81,0,0.5106898
82,0,0.89548683
83,0,0.62624943
84,3,0.4779816
85,1,0.71074045
86,1,0.8572863
87,0,0.85907423
88,1,0.49403554
89,0,0.8910705
90,0,0.89649594
91,1,0.87876964
92,0,0.8473529
93,0,0.8924432
94,2,0.8790225
95,0,0.61581546
96,0,0.9048624
97,0,0.8913254
98,0,0.9265052
99,0,0.67181766
100,3,0.82111186
101,3,0.7507431
102,0,0.81908125
103,0,0.90834093
104,3,0.88049304
105,0,0.79820687
106,1,0.8912816
107,1,0.89325285
108,0,0.84220016
109,1,0.5657257
110,0,0.80983764
111,2,0.4620899
112,3,0.49703726
113,1,0.5304983
114,0,0.9008948
115,3,0.8705107
116,1,0.88388157
117,1,0.47632626
118,0,0.9056565
119,0,0.6821837
120,1,0.4699101
121,3,0.91017604
122,1,0.8674475
123,1,0.89587533
124,3,0.70179355
125,1,0.8597733
126,0,0.89194584
127,0,0.86232626
128,0,0.58434886
129,3,0.48166555
130,1,0.8168405
131,0,0.6432376
132,3,0.5382413
133,3,0.90325874
134,1,0.8704821
135,1,0.5269584
136,0,0.82278085
137,2,0.6561859
138,1,0.5291094
139,2,0.5809381
140,1,0.7244958
141,2,0.880157
142,0,0.53419423
143,2,0.9073975
144,0,0.90346074
145,2,0.9094066
146,0,0.87061846
147,1,0.6016607
148,0,0.7634902
149,0,0.5733298
150,1,0.8196483
151,0,0.8893444
152,0,0.55032986
153,3,0.8846276
154,0,0.779766
155,2,0.87268406
156,1,0.8462263
157,3,0.88629735
158,0,0.8424952
159,0,0.699231
160,2,0.47271633
161,0,0.8584757
162,1,0.47911826
163,0,0.68529016
164,0,0.88171345
165,2,0.81972545
166,1,0.89329123
167,3,0.86472183
168,0,0.9104812
169,0,0.56607974
170,0,0.8759382
171,2,0.866166
172,3,0.8269567
173,0,0.4165586
174,2,0.85338163
175,0,0.63763535
176,1,0.779058
177,0,0.8359961
178,0,0.90314436
179,3,0.582627
180,0,0.7774447
181,3,0.8642607
182,1,0.90545416
183,0,0.8180504
184,0,0.5348944
185,1,0.88167
186,0,0.59252447
187,1,0.8950157
