Topic number,Top Word,Weight
0,engine,0.0039104572
0,fuel,0.0032699811
0,cabin,0.002931565
0,atc,0.00265879
0,altitude,0.0026437815
0,aircraft,0.0025780036
0,fire,0.0025730552
0,checklist,0.0025654691
0,feet,0.0024296213
0,1,0.0024036444
1,approach,0.0047876006
1,flap,0.0043161088
1,runway,0.004248854
1,takeoff,0.003848524
1,speed,0.0031759434
1,tower,0.0030469687
1,feet,0.0029226851
1,aircraft,0.0028749076
1,airspeed,0.002594216
1,knot,0.0025597194
2,smell,0.008092771
2,odor,0.005055847
2,attendant,0.0043197107
2,fume,0.0037948373
2,flight,0.0034146183
2,cabin,0.003111439
2,smoke,0.0028758391
2,passenger,0.0028528473
2,say,0.002713908
2,aircraft,0.002503781
3,engine,0.0063075465
3,trim,0.0052536037
3,hydraulic,0.005058962
3,oil,0.0048412
3,fuel,0.0043685664
3,checklist,0.0038027742
3,pressure,0.003779439
3,quantity,0.003207105
3,flap,0.0031429157
3,system,0.0031153213
